Metric,Vector-Level,Word-Level
Accuracy,0.8838071693448702,0.899876390605686
F1 Score,0.8836305942540759,0.8998579878138644
Precision 0,0.873015873015873,0.9014084507042254
Precision 1,0.8967391304347826,0.8981723237597912
Recall 0,0.9101654846335697,0.9078014184397163
Recall 1,0.8549222797927462,0.8911917098445595
F1 Score 0,0.8912037037037037,0.9045936395759717
F1 Score 1,0.8753315649867374,0.8946684005201561
Training Time (min),4.13751136859258,3.9253307342529298
Inference Time (sec),2.0100739002227783,2.088141679763794
Vocabulary Size,4199.0,5940.0
